vestir + presente	vestir	presente	Visto	Vestes	Veste	Vestimos	Vestem	/ˈviʃ.tu/	/ˈveʃ.tɐʃ/	/ˈveʃ.ti/	/veʃˈti.muʃ/	/ˈveʃ.tẽj̃/
despir + presente	despir (desvestir)	presente	Dispo	Despes	Dispe	Despimos	Despem	/ˈdiʃ.pu/	/ˈdiʃ.pɐʃ/	/ˈdiʃ.pi/	/diʃˈpi.muʃ/	/ˈdiʃ.pẽj̃/
sentir + presente	sentir	presente	Sinto	Sentes	Sente	Sentimos	Sentem	/ˈsẽ.ti/	/ˈsẽ.tɐʃ/	/ˈsẽ.ti/	/sẽˈti.muʃ/	/ˈsẽ.tẽj̃/
preferir + presente	preferir	presente	Prefiro	Preferes	Prefere	Preferimos	Preferem	/pɾeˈfi.ɾu/	/pɾɨˈfe.ɾɨʃ/	/pɾɨˈfe.ɾɨ/	 /pɾɨˈfe.ɾi.muʃ/	/pɾɨˈfe.ɾẽj̃/
conseguir + presente	conseguir	presente	Consigo	Consegues	Consegue	Conseguimos	Conseguem	/kõˈse.giʁ/	/kõˈse.ɡɐʃ/	/kõˈse.ɡi/	/kõ.seˈɡi.muʃ/	/kõˈse.ɡẽj̃/
seguir + presente	seguir	presente	Sigo	Seguis	Segue	Seguimos	Seguem	/ˈsi.ɡu/	/ˈsi.ɡɐʃ/	/ˈsi.ɡi/	/siˈɡi.muʃ/	/ˈsi.ɡẽj̃/
corrigir + presente	corrigir	presente	Corrijo	Corriges	Corrige	Corrigimos	Corrigem	  /koˈʁi.ʒu/	/koˈʁi.ʒɨʃ/	/koˈʁi.ʒɨ/	/ko.ʁi.ʒiˈmuʃ/	/ko.ʁiˈʒẽj/
dirigir + presente	dirigir	presente	Dirijo	Diriges	Dirige	Dirigimos	Dirigem	/di.ɾiˈʒiɾ/	/di.ɾiˈʒiɾʃ/	/di.ɾiˈʒi/	/di.ɾiˈʒi.muʃ/	/di.ɾiˈʒẽj̃/
abrir + presente	abrir	presente	Abro	Abres	Abre	Abrimos	Abrem	/ˈa.bɾi/	/ˈa.bɾiʃ/	/ˈa.bɾi/	/ɐˈbɾi.muʃ/	/ˈa.bɾẽj̃/
partir + presente	partir	presente	Parto	Partes	Parte	Partimos	Partem	/ˈpaɾ.tu/	/paɾˈtiɾʃ/	/paɾˈti/	/paɾˈti.muʃ/	/paɾˈtẽj̃/
servir + presente	servir	presente	Sirvo	Serves	Serve	Servimos	Servem	/sɛɾˈviɾ/	/sɛɾˈviɾʃ/	/sɛɾˈvi/	/sɛɾˈvi.muʃ/	/sɛɾˈvẽj̃/
discutir + presente	discutir	presente	Discuto	Discutes	Discute	Discutimos	Discutem	/diʃkuˈtiʁ/	/diʃkuˈtiʁʃ/	/diʃkuˈti/	/diʃkuˈti.muʃ/	/diʃkuˈtẽj̃/
admitir + presente	admitir	presente	Admito	Admites	Admite	Admitimos	Admitem	/admiˈtiʁ/	/admiˈtiʁʃ/	/admiˈti/	/admiˈti.muʃ/	/admiˈtẽj̃/
conduzir + presente	conduzir	presente	Conduzo	Conduzes	Conduz	Conduzimos	Conduzem	/kõˈdu.zu/	/kõˈdu.zɨʃ/	/kõˈduz/	/kõˈduzi.muʃ/	/kõˈduzẽj̃/
traduzir + presente	traduzir	presente	Traduzo	Traduzes	Traduz	Traduzimos	Traduzem	/tɾɐˈdu.zu/	/tɾɐˈdu.zɨʃ/	/tɾɐˈduz/	/tɾɐˈduzi.muʃ/	/tɾɐˈduzẽj̃/
introduzir + presente	introduzir	presente	Introduzo	Introduzes	Introduz	Introduzimos	Introduzem	/ĩ.tɾu.ˈdu.zu/	/ĩ.tɾu.duˈzɨʃ/	/ĩ.tɾuˈduz/	/ĩ.tɾuˈduzi.muʃ/	/ĩ.tɾuˈduzẽj̃/
