Ser + Infinitivo Pessoal	Ser	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	ser	seres	ser	sermos	serem						/ˈseɾ/	/ˈsɛɾɨʃ/	/ˈseɾ/	/ˈsɛɾmuʃ/	/ˈsɛɾɐ̃j̃/							Portugues::Verbos::-ER Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-ER Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
Estar + Infinitivo Pessoal	Estar	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	estar	estares	estar	estarmos	estarem						/ˈʃtaɾ/	/ˈʃtaɾɨʃ/	/ˈʃtaɾ/	/ˈʃtaɾmuʃ/	/ˈʃtaɾɐ̃j̃/							Portugues::Verbos::-AR Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-AR Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
Ter + Infinitivo Pessoal	Ter	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	ter	teres	ter	termos	terem						/ˈteɾ/	/ˈtɛɾɨʃ/	/ˈteɾ/	/ˈtɛɾmuʃ/	/ˈtɛɾɐ̃j̃/							Portugues::Verbos::-ER Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-ER Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
Haver + Infinitivo Pessoal	Haver	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	haver	haveres	haver	havermos	haverem						/ɐˈveɾ/	/ɐˈveɾɨʃ/	/ɐˈveɾ/	/ɐˈveɾmuʃ/	/ɐˈveɾɐ̃j̃/							Portugues::Verbos::-ER Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-ER Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
Fazer + Infinitivo Pessoal	Fazer	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	fazer	fazeres	fazer	fazermos	fazerem						/fɐˈzeɾ/	/fɐˈzeɾɨʃ/	/fɐˈzeɾ/	/fɐˈzeɾmuʃ/	/fɐˈzeɾɐ̃j̃/							Portugues::Verbos::-ER Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-ER Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
Dizer + Infinitivo Pessoal	Dizer	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	dizer	dizeres	dizer	dizermos	dizerem						/diˈzeɾ/	/diˈzeɾɨʃ/	/diˈzeɾ/	/diˈzeɾmuʃ/	/diˈzeɾɐ̃j̃/							Portugues::Verbos::-ER Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-ER Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
Trazer + Infinitivo Pessoal	Trazer	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	trazer	trazeres	trazer	trazermos	trazerem						/tɾɐˈzeɾ/	/tɾɐˈzeɾɨʃ/	/tɾɐˈzeɾ/	/tɾɐˈzeɾmuʃ/	/tɾɐˈzeɾɐ̃j̃/							Portugues::Verbos::-ER Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-ER Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
Pôr + Infinitivo Pessoal	Pôr	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	pôr	pôres	pôr	pormos	porem						/ˈpoɾ/	/ˈpoɾɨʃ/	/ˈpoɾ/	/ˈpɔɾmuʃ/	/ˈpɔɾɐ̃j̃/							Portugues::Verbos::-OR Portugues::Verbos::Derivados::POR Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-OR Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
Ver + Infinitivo Pessoal	Ver	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	ver	veres	ver	vermos	verem						/ˈveɾ/	/ˈvɛɾɨʃ/	/ˈveɾ/	/ˈvɛɾmuʃ/	/ˈvɛɾɐ̃j̃/							Portugues::Verbos::-ER Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-ER Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
Vir + Infinitivo Pessoal	Vir	<span style="color: rgb(125, 121, 255);"><b>Infinitivo Pessoal</b></span>	vir	vires	vir	virmos	virem						/ˈviɾ/	/ˈviɾɨʃ/	/ˈviɾ/	/ˈviɾmuʃ/	/ˈviɾɐ̃j̃/							Portugues::Verbos::-IR Portugues::Verbos::Infinitivo-Pessoal Portugues::Verbos::Infinitivo-Pessoal::-IR Portugues::Verbos::Infinitivo-Pessoal::Irregulares Portugues::Verbos::Irregulares
